date,Q_mm,P_mm,Tmean,P_mm_filled,Tmean_filled,PET_mm,Qsim_GR4J,Qsim_GR5J,Qsim_GR6J,Qsim_mm
2021-11-01,9.891749129670586,0.508,11.47530864197531,0.508,11.47530864197531,1.4063115185871722,21.143034010946575,20.66965046233598,20.692099395633203,20.98614955866443
2021-11-02,10.179186979536588,2.794,5.945987654320986,2.794,5.945987654320986,0.9254871780951678,22.160417222769745,22.44914380473982,22.545903627346622,21.926089621445296
2021-11-03,11.879357721219513,5.3340000000000005,3.7292644757433475,5.3340000000000005,3.7292644757433475,0.7311060016649085,25.280715771842175,25.34631863805292,25.308999089991822,25.02878927602536
2021-11-04,10.556081780311002,0,4.175273865414712,0,4.175273865414712,0.7612569612691371,21.996870398679164,20.99666677337533,20.73332459731184,21.829134696785598
2021-11-05,10.631945227934942,0,2.5031298904538346,0,2.5031298904538346,0.6167215525733623,20.726884646857425,20.65318519464917,20.6918343278606,20.5160998018386
2021-11-06,11.223172039350732,0,3.1226851851851873,0,3.1226851851851873,0.6614670282927912,20.34190357916093,20.625679524348016,20.691314842691384,20.098674281577743
2021-11-07,11.893496141741977,0,5.982253086419753,0,5.982253086419753,0.886119121793462,20.21605717067676,20.623417174286725,20.691308309327574,19.95531654236146
2021-11-08,26.28861076680768,0,9.475743348982787,0,9.475743348982787,1.1573547077298516,20.17393550181734,20.623230692594547,20.69130822715539,19.90481603764574
2021-11-09,13.140118040487806,0,10.89043209876543,0,10.89043209876543,1.258988810422691,20.159726607777138,20.623215318488544,20.691308226121887,19.886868607993833
2021-11-10,10.279902989268294,0,14.226984126984128,0,14.226984126984128,1.5097195221175428,20.154920942366896,20.623214050982853,20.691308226108895,19.880470316712504
2021-11-11,10.907475950121954,0,11.429783950617285,0,11.429783950617285,1.2786659147308286,20.15329415311323,20.623213946484242,20.691308226108724,19.87818677970175
2021-11-12,44.08673209903705,41.148,12.219135802469136,41.148,12.219135802469136,1.3283751724678812,59.03674869544378,60.29920035572361,60.48789999726411,58.65239304376134
2021-11-13,24.10179297318029,0,4.1017214397496105,0,4.1017214397496105,0.6960877562055016,24.475679009672547,21.316242058223203,20.764149887881914,24.513856121995882
2021-11-14,16.719790649707942,0.508,2.2731481481481493,0.508,2.2731481481481493,0.5514977237188209,21.36299045401012,20.677584268928207,20.692217329288667,21.23356580973889
2021-11-15,16.480857796247562,0,3.423611111111112,0,3.423611111111112,0.6333636245186013,20.54030618419943,20.627678807097972,20.691319659089984,20.332815168481453
2021-11-16,16.07051549385366,0,6.322530864197529,0,6.322530864197529,0.8442818274747618,20.2814727435803,20.62358192076428,20.691308369904874,20.036395357317218
2021-11-17,11.974985053943781,0,9.284600389863549,0,9.284600389863549,1.0564760955463905,20.19589203427141,20.62324427443813,20.691308227917297,19.933458536173063
2021-11-18,15.940683027439025,0,11.182316118935837,0,11.182316118935837,1.187247813214901,20.167140151231987,20.62321643823023,20.691308226131472,19.897058039263406
2021-11-19,14.148174410344684,1.27,2.6531746031746035,1.27,2.6531746031746035,0.5570777880024699,20.788908329883192,21.31074735946403,21.392587961432547,20.509120529022155
2021-11-20,12.902556488613465,0,-0.42052469135802384,0,-0.42052469135802384,0.3307735743273256,20.469756193981812,20.7034019447587,20.700949685004016,20.20806280574162
2021-11-21,13.410608491687004,0,0.7955246913580262,0,0.7955246913580262,0.41545020429830415,20.258349300535087,20.629786638034723,20.691429365693985,19.993410309344235
